3.0383 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
95.9531 	EXP 	window1: recordFrameIntervals = False
95.9674 	EXP 	fixation: autoDraw = False
95.9674 	EXP 	grating: autoDraw = False
95.9677 	EXP 	window1: recordFrameIntervals = False
96.9446 	EXP 	fixation: autoDraw = True
97.9505 	EXP 	fixation: autoDraw = False
97.9675 	EXP 	grating: autoDraw = True
97.9675 	EXP 	grating: tex = 'sin'
98.2206 	EXP 	window1: recordFrameIntervals = False
98.2224 	DATA 	Keypress: left
98.2337 	EXP 	fixation: autoDraw = False
98.2337 	EXP 	grating: autoDraw = False
98.2341 	EXP 	window1: recordFrameIntervals = False
99.0049 	DATA 	Keypress: right
99.2120 	EXP 	fixation: autoDraw = True
100.2166 	EXP 	fixation: autoDraw = False
100.2338 	EXP 	grating: autoDraw = True
100.2338 	EXP 	grating: tex = 'sin'
100.5332 	EXP 	grating: autoDraw = False
100.5374 	EXP 	window1: recordFrameIntervals = False
100.5394 	DATA 	Keypress: right
100.5499 	EXP 	fixation: autoDraw = False
100.5499 	EXP 	grating: autoDraw = False
100.5502 	EXP 	window1: recordFrameIntervals = False
101.5296 	EXP 	fixation: autoDraw = True
102.5328 	EXP 	fixation: autoDraw = False
102.5498 	EXP 	grating: autoDraw = True
102.5498 	EXP 	grating: tex = 'sin'
102.8025 	EXP 	window1: recordFrameIntervals = False
102.8042 	DATA 	Keypress: left
102.8160 	EXP 	fixation: autoDraw = False
102.8160 	EXP 	grating: autoDraw = False
102.8164 	EXP 	window1: recordFrameIntervals = False
103.7957 	EXP 	fixation: autoDraw = True
104.7988 	EXP 	fixation: autoDraw = False
104.8156 	EXP 	grating: autoDraw = True
104.8156 	EXP 	grating: tex = 'sin'
105.1024 	EXP 	window1: recordFrameIntervals = False
105.1042 	DATA 	Keypress: right
105.1153 	EXP 	grating: autoDraw = False
105.1153 	EXP 	fixation: autoDraw = False
105.1153 	EXP 	grating: autoDraw = False
