trials.label,trials.startVal,trials.stepsizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,82,up,4,db,1,0,0.0010977,218.3387657,218.3387657,218.6385748,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,83,up,4,db,1,0,0.0010527,220.654871,220.654871,220.9545726,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,84,up,4,db,1,0,0.0009061,222.9710582,222.9710582,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,85,up,4,db,1,0,0.0010393,225.2539453,225.2539453,225.5535855,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,86,up,4,db,1,0,0.0015449,227.5697234,227.5697234,227.8694362,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,87,up,4,db,1,1,0.00133,229.8693552,229.8693552,230.1689365,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,89,88,up,4,db,1,1,0.0012409,232.1688219,232.1688219,232.468489,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,90,89,up,4,db,1,0,0.0010501,234.468124,234.468124,234.7678991,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,91,90,up,4,db,1,0,0.001146,236.7844815,236.7844815,237.0838531,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,92,91,up,4,db,1,1,0.0011278,239.1001414,239.1001414,239.3999479,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,93,92,up,4,db,1,1,0.0007614,241.3998136,241.3998136,241.6995929,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,94,93,down,4,db,0.630957344,1,0.0009335,243.6992298,243.6992298,243.9993423,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,95,94,down,4,db,0.630957344,1,0.0018655,246.0320108,246.0320108,246.3318017,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,96,95,down,4,db,0.630957344,1,0.0011186,248.4147789,248.4147789,248.7147455,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,97,96,up,4,db,1,0,0.0013862,250.7143681,250.7143681,,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,98,97,up,4,db,1,1,0.0009351,252.9973138,252.9973138,253.296608,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,99,98,up,4,db,1,0,0.0005486,255.3465107,255.3465107,255.64628,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,100,99,up,4,db,1,0,0.0012405,257.6627958,257.6627958,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
