2.8292 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
95.1002 	EXP 	fixation: autoDraw = False
95.1002 	EXP 	grating: autoDraw = True
95.3999 	EXP 	grating: autoDraw = False
95.7758 	EXP 	New trial (rep=40, index=0): None
95.7792 	DATA 	Keypress: up
95.7832 	EXP 	fixation: autoDraw = False
95.7832 	EXP 	grating: autoDraw = False
95.7832 	EXP 	grating: ori = 2.0
95.7832 	EXP 	fixation: autoDraw = True
96.7830 	EXP 	fixation: autoDraw = False
96.7830 	EXP 	grating: autoDraw = True
97.0827 	EXP 	grating: autoDraw = False
97.4779 	EXP 	New trial (rep=41, index=0): None
97.4822 	DATA 	Keypress: up
97.4851 	EXP 	fixation: autoDraw = False
97.4851 	EXP 	grating: autoDraw = False
97.4851 	EXP 	grating: ori = -5.0
97.4851 	EXP 	fixation: autoDraw = True
98.4827 	EXP 	grating: autoDraw = True
98.4993 	EXP 	fixation: autoDraw = False
98.7824 	EXP 	grating: autoDraw = False
99.1071 	EXP 	New trial (rep=42, index=0): None
99.1105 	DATA 	Keypress: down
99.1157 	EXP 	fixation: autoDraw = False
99.1157 	EXP 	grating: autoDraw = False
99.1157 	EXP 	grating: ori = 0.0
99.1157 	EXP 	fixation: autoDraw = True
100.1156 	EXP 	fixation: autoDraw = False
100.1156 	EXP 	grating: autoDraw = True
100.4153 	EXP 	grating: autoDraw = False
100.7735 	EXP 	New trial (rep=43, index=0): None
100.7768 	DATA 	Keypress: up
100.7820 	EXP 	fixation: autoDraw = False
100.7820 	EXP 	grating: autoDraw = False
100.7820 	EXP 	grating: ori = 1.0
100.7820 	EXP 	fixation: autoDraw = True
101.7819 	EXP 	fixation: autoDraw = False
101.7819 	EXP 	grating: autoDraw = True
102.0818 	EXP 	grating: autoDraw = False
102.5082 	EXP 	New trial (rep=44, index=0): None
102.5117 	DATA 	Keypress: up
102.5148 	EXP 	fixation: autoDraw = False
102.5148 	EXP 	grating: autoDraw = False
102.5148 	EXP 	grating: ori = 0.0
102.5148 	EXP 	fixation: autoDraw = True
103.5147 	EXP 	fixation: autoDraw = False
103.5147 	EXP 	grating: autoDraw = True
103.8145 	EXP 	grating: autoDraw = False
104.2058 	EXP 	New trial (rep=45, index=0): None
104.2092 	DATA 	Keypress: up
104.2144 	EXP 	fixation: autoDraw = False
104.2144 	EXP 	grating: autoDraw = False
104.2144 	EXP 	grating: ori = 0.0
104.2144 	EXP 	fixation: autoDraw = True
105.2144 	EXP 	fixation: autoDraw = False
105.2144 	EXP 	grating: autoDraw = True
105.5142 	EXP 	grating: autoDraw = False
105.8514 	DATA 	Keypress: up
105.8718 	EXP 	New trial (rep=46, index=0): None
105.8807 	EXP 	fixation: autoDraw = False
105.8807 	EXP 	grating: autoDraw = False
105.8807 	EXP 	grating: ori = -2.0
105.8807 	EXP 	fixation: autoDraw = True
106.8805 	EXP 	fixation: autoDraw = False
106.8805 	EXP 	grating: autoDraw = True
107.1804 	EXP 	grating: autoDraw = False
107.4553 	EXP 	New trial (rep=47, index=0): None
107.4586 	DATA 	Keypress: down
107.4637 	EXP 	fixation: autoDraw = False
107.4637 	EXP 	grating: autoDraw = False
107.4637 	EXP 	grating: ori = 0.0
107.4637 	EXP 	fixation: autoDraw = True
108.4636 	EXP 	fixation: autoDraw = False
108.4636 	EXP 	grating: autoDraw = True
108.7633 	EXP 	grating: autoDraw = False
109.1882 	EXP 	New trial (rep=48, index=0): None
109.1914 	DATA 	Keypress: up
109.1966 	EXP 	fixation: autoDraw = False
109.1966 	EXP 	grating: autoDraw = False
109.1966 	EXP 	grating: ori = -3.0
109.1966 	EXP 	fixation: autoDraw = True
110.1965 	EXP 	fixation: autoDraw = False
110.1965 	EXP 	grating: autoDraw = True
110.4963 	EXP 	grating: autoDraw = False
110.7876 	EXP 	New trial (rep=49, index=0): None
110.7909 	DATA 	Keypress: up
110.7963 	EXP 	fixation: autoDraw = False
110.7963 	EXP 	grating: autoDraw = False
110.7963 	EXP 	grating: ori = -1.0
110.7963 	EXP 	fixation: autoDraw = True
111.7961 	EXP 	fixation: autoDraw = False
111.7961 	EXP 	grating: autoDraw = True
112.0958 	EXP 	grating: autoDraw = False
112.4541 	EXP 	New trial (rep=50, index=0): None
112.4574 	DATA 	Keypress: up
112.4624 	EXP 	fixation: autoDraw = False
112.4624 	EXP 	grating: autoDraw = False
112.4624 	EXP 	grating: ori = -3.0
112.4624 	EXP 	fixation: autoDraw = True
113.4623 	EXP 	fixation: autoDraw = False
113.4623 	EXP 	grating: autoDraw = True
113.7622 	EXP 	grating: autoDraw = False
114.1037 	EXP 	New trial (rep=51, index=0): None
114.1070 	DATA 	Keypress: down
114.1120 	EXP 	fixation: autoDraw = False
114.1120 	EXP 	grating: autoDraw = False
114.1120 	EXP 	grating: ori = -3.0
114.1120 	EXP 	fixation: autoDraw = True
115.1121 	EXP 	fixation: autoDraw = False
115.1121 	EXP 	grating: autoDraw = True
115.4117 	EXP 	grating: autoDraw = False
115.7697 	EXP 	New trial (rep=52, index=0): None
115.7730 	DATA 	Keypress: down
115.7784 	EXP 	fixation: autoDraw = False
115.7784 	EXP 	grating: autoDraw = False
115.7784 	EXP 	grating: ori = -4.0
115.7784 	EXP 	fixation: autoDraw = True
116.7782 	EXP 	fixation: autoDraw = False
116.7782 	EXP 	grating: autoDraw = True
117.0780 	EXP 	grating: autoDraw = False
117.2693 	EXP 	New trial (rep=53, index=0): None
117.2726 	DATA 	Keypress: down
117.2780 	EXP 	fixation: autoDraw = False
117.2780 	EXP 	grating: autoDraw = False
117.2780 	EXP 	grating: ori = 0.0
117.2780 	EXP 	fixation: autoDraw = True
118.2778 	EXP 	fixation: autoDraw = False
118.2778 	EXP 	grating: autoDraw = True
118.5776 	EXP 	grating: autoDraw = False
118.9691 	EXP 	New trial (rep=54, index=0): None
118.9725 	DATA 	Keypress: up
118.9775 	EXP 	fixation: autoDraw = False
118.9775 	EXP 	grating: autoDraw = False
118.9775 	EXP 	grating: ori = -2.0
118.9775 	EXP 	fixation: autoDraw = True
119.9775 	EXP 	fixation: autoDraw = False
119.9775 	EXP 	grating: autoDraw = True
120.2774 	EXP 	grating: autoDraw = False
120.6854 	EXP 	New trial (rep=55, index=0): None
120.6887 	DATA 	Keypress: down
120.6939 	EXP 	fixation: autoDraw = False
120.6939 	EXP 	grating: autoDraw = False
120.6939 	EXP 	grating: ori = 0.0
120.6939 	EXP 	fixation: autoDraw = True
121.6938 	EXP 	fixation: autoDraw = False
121.6938 	EXP 	grating: autoDraw = True
121.9936 	EXP 	grating: autoDraw = False
122.5014 	EXP 	New trial (rep=56, index=0): None
122.5047 	DATA 	Keypress: up
122.5101 	EXP 	fixation: autoDraw = False
122.5101 	EXP 	grating: autoDraw = False
122.5101 	EXP 	grating: ori = 2.0
122.5101 	EXP 	fixation: autoDraw = True
123.5100 	EXP 	fixation: autoDraw = False
123.5100 	EXP 	grating: autoDraw = True
123.8098 	EXP 	grating: autoDraw = False
124.1843 	EXP 	New trial (rep=57, index=0): None
124.1877 	DATA 	Keypress: up
124.1931 	EXP 	fixation: autoDraw = False
124.1931 	EXP 	grating: autoDraw = False
124.1931 	EXP 	grating: ori = 0.0
124.1931 	EXP 	fixation: autoDraw = True
125.1929 	EXP 	fixation: autoDraw = False
125.1929 	EXP 	grating: autoDraw = True
125.4927 	EXP 	grating: autoDraw = False
125.8345 	EXP 	New trial (rep=58, index=0): None
125.8379 	DATA 	Keypress: up
125.8426 	EXP 	fixation: autoDraw = False
125.8426 	EXP 	grating: autoDraw = False
125.8426 	EXP 	grating: ori = 4.0
125.8426 	EXP 	fixation: autoDraw = True
126.8424 	EXP 	fixation: autoDraw = False
126.8424 	EXP 	grating: autoDraw = True
127.1424 	EXP 	grating: autoDraw = False
127.4170 	EXP 	New trial (rep=59, index=0): None
127.4203 	DATA 	Keypress: down
127.4256 	EXP 	fixation: autoDraw = False
127.4256 	EXP 	grating: autoDraw = False
127.4256 	EXP 	grating: ori = -2.0
127.4256 	EXP 	fixation: autoDraw = True
128.4255 	EXP 	fixation: autoDraw = False
128.4255 	EXP 	grating: autoDraw = True
128.7252 	EXP 	grating: autoDraw = False
129.0460 	DATA 	Keypress: down
129.0671 	EXP 	New trial (rep=60, index=0): None
129.0753 	EXP 	fixation: autoDraw = False
129.0753 	EXP 	grating: autoDraw = False
129.0753 	EXP 	grating: ori = 3.0
129.0753 	EXP 	fixation: autoDraw = True
130.0750 	EXP 	fixation: autoDraw = False
130.0750 	EXP 	grating: autoDraw = True
130.3749 	EXP 	grating: autoDraw = False
130.6455 	DATA 	Keypress: down
130.6659 	EXP 	New trial (rep=61, index=0): None
130.6749 	EXP 	fixation: autoDraw = False
130.6749 	EXP 	grating: autoDraw = False
130.6749 	EXP 	grating: ori = 0.0
130.6749 	EXP 	fixation: autoDraw = True
131.6747 	EXP 	fixation: autoDraw = False
